PROFESSIONAL ICT STRATEGY BACKTEST RESULTS
Backtest Period: January 2025 - February 24, 2026
Trading System: D1 Bias + H1 Order Blocks + M5 Execution + Killzone
Starting Capital: $100 (10X Leverage = $1,000 Trading Capital)

=== ACCOUNT SUMMARY ===
Starting Capital,$100.00
Leverage,10X
Trading Capital,$1000.00
Final Balance,$988.33
Total Profit/Loss,$-11.67
Return %,-1.17%
Max Drawdown,5.07%
Win Rate,49.16%

=== TRADE STATISTICS ===
Total Trades,417
Winning Trades,205
Losing Trades,212
Average Win,$1.17
Average Loss,$-1.19
Profit Factor,0.95x

=== QUALITY DISTRIBUTION ===
A+ Trades (3+ OBs),417
A Trades (2 OBs),0
B Trades (1 OB),0

=== SESSION ANALYSIS ===
Asia Zone Trades,180
London Zone Trades,108
New York Zone Trades,129

=== DETAILED TRADE LIST ===
Trade #,Date,Side,Quality,Killzone,Entry Price,Exit Price,Profit $,Profit %,Duration Days,Entry Reason,Exit Reason

1,2026-02-21,LONG,A+,NY,68117.56000000,68010.36000000,-1.57,-0.16,0,"D1:LONG | H1:5OBs | NY | Q:A+","Bias reversed to SHORT. Price: 68117.56 → 68010.36 (-1.57)"
2,2026-02-21,LONG,A+,NY,68010.36000000,67989.96000000,-0.30,-0.03,0,"D1:LONG | H1:6OBs | NY | Q:A+","Bias reversed to SHORT. Price: 68010.36 → 67989.96 (-0.30)"
3,2026-02-21,LONG,A+,NY,67989.96000000,67982.26000000,-0.11,-0.01,0,"D1:LONG | H1:6OBs | NY | Q:A+","Bias reversed to SHORT. Price: 67989.96 → 67982.26 (-0.11)"
4,2026-02-21,LONG,A+,NY,67982.26000000,67997.92000000,0.23,0.02,0,"D1:LONG | H1:6OBs | NY | Q:A+","Signal continued. Price: 67982.26 → 67997.92 (+0.23)"
5,2026-02-21,LONG,A+,NY,67997.92000000,67968.00000000,-0.44,-0.04,0,"D1:LONG | H1:6OBs | NY | Q:A+","Bias reversed to SHORT. Price: 67997.92 → 67968.00 (-0.44)"
6,2026-02-21,LONG,A+,NY,67968.00000000,67955.60000000,-0.18,-0.02,0,"D1:LONG | H1:6OBs | NY | Q:A+","Bias reversed to SHORT. Price: 67968.00 → 67955.60 (-0.18)"
7,2026-02-21,LONG,A+,NY,67955.60000000,68026.57000000,1.04,0.10,0,"D1:LONG | H1:6OBs | NY | Q:A+","Signal continued. Price: 67955.60 → 68026.57 (+1.04)"
8,2026-02-21,LONG,A+,NY,68026.57000000,68031.31000000,0.07,0.01,0,"D1:LONG | H1:6OBs | NY | Q:A+","Signal continued. Price: 68026.57 → 68031.31 (+0.07)"
9,2026-02-21,LONG,A+,NY,68031.31000000,68126.00000000,1.39,0.14,0,"D1:LONG | H1:6OBs | NY | Q:A+","Signal continued. Price: 68031.31 → 68126.00 (+1.39)"
10,2026-02-21,LONG,A+,NY,68126.00000000,68184.67000000,0.86,0.09,0,"D1:LONG | H1:6OBs | NY | Q:A+","Signal continued. Price: 68126.00 → 68184.67 (+0.86)"
11,2026-02-21,LONG,A+,NY,68184.67000000,68203.42000000,0.27,0.03,0,"D1:LONG | H1:6OBs | NY | Q:A+","Signal continued. Price: 68184.67 → 68203.42 (+0.27)"
12,2026-02-21,LONG,A+,NY,68203.42000000,68160.00000000,-0.64,-0.06,0,"D1:LONG | H1:6OBs | NY | Q:A+","Bias reversed to SHORT. Price: 68203.42 → 68160.00 (-0.64)"
13,2026-02-21,LONG,A+,NY,68160.00000000,68182.86000000,0.34,0.03,0,"D1:LONG | H1:6OBs | NY | Q:A+","Signal continued. Price: 68160.00 → 68182.86 (+0.34)"
14,2026-02-21,LONG,A+,NY,68182.86000000,68147.29000000,-0.52,-0.05,0,"D1:LONG | H1:5OBs | NY | Q:A+","Bias reversed to SHORT. Price: 68182.86 → 68147.29 (-0.52)"
15,2026-02-21,LONG,A+,NY,68147.29000000,68140.89000000,-0.09,-0.01,0,"D1:LONG | H1:5OBs | NY | Q:A+","Bias reversed to SHORT. Price: 68147.29 → 68140.89 (-0.09)"
16,2026-02-21,LONG,A+,NY,68140.89000000,68179.86000000,0.57,0.06,0,"D1:LONG | H1:5OBs | NY | Q:A+","Signal continued. Price: 68140.89 → 68179.86 (+0.57)"
17,2026-02-21,LONG,A+,NY,68179.86000000,68237.93000000,0.85,0.09,0,"D1:LONG | H1:5OBs | NY | Q:A+","Signal continued. Price: 68179.86 → 68237.93 (+0.85)"
18,2026-02-21,LONG,A+,NY,68237.93000000,68197.87000000,-0.59,-0.06,0,"D1:LONG | H1:5OBs | NY | Q:A+","Bias reversed to SHORT. Price: 68237.93 → 68197.87 (-0.59)"
19,2026-02-21,LONG,A+,NY,68197.87000000,68209.23000000,0.17,0.02,0,"D1:LONG | H1:5OBs | NY | Q:A+","Signal continued. Price: 68197.87 → 68209.23 (+0.17)"
20,2026-02-21,LONG,A+,NY,68209.23000000,68167.61000000,-0.61,-0.06,0,"D1:LONG | H1:5OBs | NY | Q:A+","Bias reversed to SHORT. Price: 68209.23 → 68167.61 (-0.61)"
21,2026-02-21,LONG,A+,NY,68167.61000000,68216.80000000,0.72,0.07,0,"D1:LONG | H1:5OBs | NY | Q:A+","Signal continued. Price: 68167.61 → 68216.80 (+0.72)"
22,2026-02-21,LONG,A+,NY,68216.80000000,68202.42000000,-0.21,-0.02,0,"D1:LONG | H1:5OBs | NY | Q:A+","Bias reversed to SHORT. Price: 68216.80 → 68202.42 (-0.21)"
23,2026-02-21,LONG,A+,NY,68202.42000000,68259.99000000,0.84,0.08,0,"D1:LONG | H1:5OBs | NY | Q:A+","Signal continued. Price: 68202.42 → 68259.99 (+0.84)"
24,2026-02-21,LONG,A+,NY,68259.99000000,68215.70000000,-0.65,-0.06,0,"D1:LONG | H1:5OBs | NY | Q:A+","Bias reversed to SHORT. Price: 68259.99 → 68215.70 (-0.65)"
25,2026-02-21,LONG,A+,NY,68215.70000000,68245.86000000,0.44,0.04,0,"D1:LONG | H1:5OBs | NY | Q:A+","Signal continued. Price: 68215.70 → 68245.86 (+0.44)"
26,2026-02-21,LONG,A+,NY,68245.86000000,68267.99000000,0.32,0.03,0,"D1:LONG | H1:5OBs | NY | Q:A+","Signal continued. Price: 68245.86 → 68267.99 (+0.32)"
27,2026-02-21,LONG,A+,NY,68267.99000000,68243.30000000,-0.36,-0.04,0,"D1:LONG | H1:5OBs | NY | Q:A+","Bias reversed to SHORT. Price: 68267.99 → 68243.30 (-0.36)"
28,2026-02-21,LONG,A+,NY,68243.30000000,68499.99000000,3.76,0.38,0,"D1:LONG | H1:5OBs | NY | Q:A+","Signal continued. Price: 68243.30 → 68499.99 (+3.76)"
29,2026-02-21,LONG,A+,NY,68499.99000000,68432.80000000,-0.98,-0.10,0,"D1:LONG | H1:5OBs | NY | Q:A+","Bias reversed to SHORT. Price: 68499.99 → 68432.80 (-0.98)"
30,2026-02-21,LONG,A+,NY,68432.80000000,68540.81000000,1.58,0.16,0,"D1:LONG | H1:5OBs | NY | Q:A+","Signal continued. Price: 68432.80 → 68540.81 (+1.58)"
31,2026-02-21,LONG,A+,NY,68540.81000000,68530.39000000,-0.15,-0.02,0,"D1:LONG | H1:5OBs | NY | Q:A+","Bias reversed to SHORT. Price: 68540.81 → 68530.39 (-0.15)"
32,2026-02-21,LONG,A+,NY,68530.39000000,68541.67000000,0.16,0.02,0,"D1:LONG | H1:5OBs | NY | Q:A+","Signal continued. Price: 68530.39 → 68541.67 (+0.16)"
33,2026-02-21,LONG,A+,NY,68541.67000000,68480.42000000,-0.89,-0.09,0,"D1:LONG | H1:5OBs | NY | Q:A+","Bias reversed to SHORT. Price: 68541.67 → 68480.42 (-0.89)"
34,2026-02-21,LONG,A+,NY,68480.42000000,68501.36000000,0.31,0.03,0,"D1:LONG | H1:5OBs | NY | Q:A+","Signal continued. Price: 68480.42 → 68501.36 (+0.31)"
35,2026-02-21,LONG,A+,NY,68501.36000000,68450.01000000,-0.75,-0.07,0,"D1:LONG | H1:5OBs | NY | Q:A+","Bias reversed to SHORT. Price: 68501.36 → 68450.01 (-0.75)"
36,2026-02-21,LONG,A+,NY,68450.01000000,68020.98000000,-6.27,-0.63,1,"D1:LONG | H1:5OBs | NY | Q:A+","Bias reversed to SHORT. Price: 68450.01 → 68020.98 (-6.27)"
37,2026-02-22,SHORT,A+,ASIA,68020.98000000,68030.52000000,-0.14,-0.01,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 68020.98 → 68030.52 (-0.14)"
38,2026-02-22,SHORT,A+,ASIA,68030.52000000,68015.09000000,0.23,0.02,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Signal continued. Price: 68030.52 → 68015.09 (+0.23)"
39,2026-02-22,SHORT,A+,ASIA,68015.09000000,67994.10000000,0.31,0.03,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Signal continued. Price: 68015.09 → 67994.10 (+0.31)"
40,2026-02-22,SHORT,A+,ASIA,67994.10000000,67867.40000000,1.86,0.19,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Signal continued. Price: 67994.10 → 67867.40 (+1.86)"
41,2026-02-22,SHORT,A+,ASIA,67867.40000000,67856.03000000,0.17,0.02,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Signal continued. Price: 67867.40 → 67856.03 (+0.17)"
42,2026-02-22,SHORT,A+,ASIA,67856.03000000,67852.00000000,0.06,0.01,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Signal continued. Price: 67856.03 → 67852.00 (+0.06)"
43,2026-02-22,SHORT,A+,ASIA,67852.00000000,67887.20000000,-0.52,-0.05,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 67852.00 → 67887.20 (-0.52)"
44,2026-02-22,SHORT,A+,ASIA,67887.20000000,67846.01000000,0.61,0.06,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Signal continued. Price: 67887.20 → 67846.01 (+0.61)"
45,2026-02-22,SHORT,A+,ASIA,67846.01000000,67863.90000000,-0.26,-0.03,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 67846.01 → 67863.90 (-0.26)"
46,2026-02-22,SHORT,A+,ASIA,67863.90000000,67887.71000000,-0.35,-0.04,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 67863.90 → 67887.71 (-0.35)"
47,2026-02-22,SHORT,A+,ASIA,67887.71000000,67946.00000000,-0.86,-0.09,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 67887.71 → 67946.00 (-0.86)"
48,2026-02-22,SHORT,A+,ASIA,67946.00000000,67992.72000000,-0.69,-0.07,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 67946.00 → 67992.72 (-0.69)"
49,2026-02-22,SHORT,A+,ASIA,67992.72000000,68045.34000000,-0.77,-0.08,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 67992.72 → 68045.34 (-0.77)"
50,2026-02-22,SHORT,A+,ASIA,68045.34000000,68033.38000000,0.18,0.02,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Signal continued. Price: 68045.34 → 68033.38 (+0.18)"
51,2026-02-22,SHORT,A+,ASIA,68033.38000000,68060.00000000,-0.39,-0.04,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 68033.38 → 68060.00 (-0.39)"
52,2026-02-22,SHORT,A+,ASIA,68060.00000000,68092.18000000,-0.47,-0.05,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 68060.00 → 68092.18 (-0.47)"
53,2026-02-22,SHORT,A+,ASIA,68092.18000000,68116.60000000,-0.36,-0.04,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 68092.18 → 68116.60 (-0.36)"
54,2026-02-22,SHORT,A+,ASIA,68116.60000000,68076.05000000,0.60,0.06,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Signal continued. Price: 68116.60 → 68076.05 (+0.60)"
55,2026-02-22,SHORT,A+,ASIA,68076.05000000,68064.77000000,0.17,0.02,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Signal continued. Price: 68076.05 → 68064.77 (+0.17)"
56,2026-02-22,SHORT,A+,ASIA,68064.77000000,68126.46000000,-0.91,-0.09,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 68064.77 → 68126.46 (-0.91)"
57,2026-02-22,SHORT,A+,ASIA,68126.46000000,68160.16000000,-0.49,-0.05,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 68126.46 → 68160.16 (-0.49)"
58,2026-02-22,SHORT,A+,ASIA,68160.16000000,68150.00000000,0.15,0.01,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Signal continued. Price: 68160.16 → 68150.00 (+0.15)"
59,2026-02-22,SHORT,A+,ASIA,68150.00000000,68159.31000000,-0.14,-0.01,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 68150.00 → 68159.31 (-0.14)"
60,2026-02-22,SHORT,A+,ASIA,68159.31000000,68141.81000000,0.26,0.03,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Signal continued. Price: 68159.31 → 68141.81 (+0.26)"
61,2026-02-22,SHORT,A+,ASIA,68141.81000000,68201.89000000,-0.88,-0.09,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 68141.81 → 68201.89 (-0.88)"
62,2026-02-22,SHORT,A+,ASIA,68201.89000000,68215.41000000,-0.20,-0.02,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 68201.89 → 68215.41 (-0.20)"
63,2026-02-22,SHORT,A+,ASIA,68215.41000000,68100.00000000,1.69,0.17,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Signal continued. Price: 68215.41 → 68100.00 (+1.69)"
64,2026-02-22,SHORT,A+,ASIA,68100.00000000,68072.31000000,0.41,0.04,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Signal continued. Price: 68100.00 → 68072.31 (+0.41)"
65,2026-02-22,SHORT,A+,ASIA,68072.31000000,68056.09000000,0.24,0.02,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Signal continued. Price: 68072.31 → 68056.09 (+0.24)"
66,2026-02-22,SHORT,A+,ASIA,68056.09000000,68112.95000000,-0.84,-0.08,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 68056.09 → 68112.95 (-0.84)"
67,2026-02-22,SHORT,A+,ASIA,68112.95000000,67996.00000000,1.72,0.17,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Signal continued. Price: 68112.95 → 67996.00 (+1.72)"
68,2026-02-22,SHORT,A+,ASIA,67996.00000000,67983.82000000,0.18,0.02,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Signal continued. Price: 67996.00 → 67983.82 (+0.18)"
69,2026-02-22,SHORT,A+,ASIA,67983.82000000,67967.89000000,0.23,0.02,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Signal continued. Price: 67983.82 → 67967.89 (+0.23)"
70,2026-02-22,SHORT,A+,ASIA,67967.89000000,68001.59000000,-0.50,-0.05,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 67967.89 → 68001.59 (-0.50)"
71,2026-02-22,SHORT,A+,ASIA,68001.59000000,67909.68000000,1.35,0.14,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Signal continued. Price: 68001.59 → 67909.68 (+1.35)"
72,2026-02-22,SHORT,A+,ASIA,67909.68000000,67963.77000000,-0.80,-0.08,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 67909.68 → 67963.77 (-0.80)"
73,2026-02-22,SHORT,A+,ASIA,67963.77000000,68006.68000000,-0.63,-0.06,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 67963.77 → 68006.68 (-0.63)"
74,2026-02-22,SHORT,A+,ASIA,68006.68000000,68018.00000000,-0.17,-0.02,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 68006.68 → 68018.00 (-0.17)"
75,2026-02-22,SHORT,A+,ASIA,68018.00000000,67848.26000000,2.50,0.25,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Signal continued. Price: 68018.00 → 67848.26 (+2.50)"
